,0,1,2,3,4,5
643,100644,Alexander,Zverev,R,19970420.0,GER
3332,103333,Ivo,Karlovic,R,19790228.0,CRO
3498,103499,Aqeel,Khan,R,19800130.0,PAK
3528,103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK
3564,103565,Stephane,Robert,R,19800517.0,FRA
3818,103819,Roger,Federer,R,19810808.0,SUI
3851,103852,Feliciano,Lopez,L,19810920.0,ESP
3892,103893,Paolo,Lorenzi,R,19811215.0,ITA
4228,104229,Yen Hsun,Lu,R,19830814.0,TPE
4232,104233,Frederik,Nielsen,R,19830827.0,DEN
4258,104259,Philipp,Kohlschreiber,R,19831016.0,GER
4268,104269,Fernando,Verdasco,L,19831115.0,ESP
4290,104291,Malek,Jaziri,R,19840120.0,TUN
4310,104312,Andreas,Seppi,R,19840221.0,ITA
4325,104327,Steve,Darcis,R,19840313.0,BEL
4422,104424,Go,Soeda,R,19840905.0,JPN
4465,104467,Lamine,Ouahab,R,19841222.0,ALG
4466,104468,Gilles,Simon,R,19841227.0,FRA
4525,104527,Stanislas,Wawrinka,R,19850328.0,SUI
4540,104542,Jo Wilfried,Tsonga,R,19850417.0,FRA
4543,104545,John,Isner,R,19850426.0,USA
4584,104586,Lukas,Rosol,R,19850724.0,CZE
4653,104655,Pablo,Cuevas,R,19860101.0,URU
4654,104656,Haydn,Lewis,L,19860102.0,BAR
4658,104660,Sergiy,Stakhovsky,R,19860106.0,UKR
4663,104665,Pablo,Andujar,R,19860123.0,ESP
4676,104678,Viktor,Troicki,R,19860210.0,SRB
4727,104731,Kevin,Anderson,R,19860518.0,RSA
4741,104745,Rafael,Nadal,L,19860603.0,ESP
4751,104755,Richard,Gasquet,R,19860618.0,FRA
4788,104792,Gael,Monfils,R,19860901.0,FRA
4793,104797,Denis,Istomin,R,19860907.0,UZB
4867,104871,Jeremy,Chardy,R,19870212.0,FRA
4878,104882,Blaz,Kavcic,R,19870305.0,SLO
4893,104898,Robin,Haase,R,19870406.0,NED
4896,104901,Vladimir,Ivanov,R,19870410.0,EST
4902,104907,Jose Rubin,Statham,R,19870425.0,NZL
4912,104918,Andy,Murray,R,19870515.0,GBR
4913,104919,Leonardo,Mayer,R,19870515.0,ARG
4919,104925,Novak,Djokovic,R,19870522.0,SRB
4920,104926,Fabio,Fognini,R,19870524.0,ITA
4993,104999,Mischa,Zverev,L,19870822.0,GER
5005,105011,Illya,Marchenko,R,19870908.0,UKR
5015,105023,Sam,Querrey,R,19871007.0,USA
5022,105030,Michael,Venus,R,19871016.0,NZL
5045,105053,Santiago,Giraldo,R,19871127.0,COL
5054,105062,Mikhail,Kukushkin,R,19871226.0,KAZ
5066,105074,Ruben,Bemelmans,L,19880114.0,BEL
5069,105077,Albert,Ramos,L,19880117.0,ESP
5130,105138,Roberto,Bautista Agut,R,19880414.0,ESP
5139,105147,Tatsuma,Ito,R,19880518.0,JPN
5147,105155,Pedro,Sousa,R,19880527.0,POR
5148,105156,Federico,Zeballos,U,19880530.0,BOL
5165,105173,Adrian,Mannarino,L,19880629.0,FRA
5200,105208,Ernests,Gulbis,R,19880830.0,LAT
5208,105216,Yuichi,Sugita,R,19880918.0,JPN
5218,105226,Attila,Balazs,R,19880927.0,HUN
5219,105227,Marin,Cilic,R,19880928.0,CRO
5302,105311,Joao,Sousa,R,19890330.0,POR
5323,105332,Benoit,Paire,R,19890508.0,FRA
5325,105334,Luis David,Martinez,U,19890512.0,VEN
5332,105341,Thomas,Fabbiano,R,19890526.0,ITA
5340,105349,Harri,Heliovaara,R,19890604.0,FIN
5348,105357,John,Millman,R,19890614.0,AUS
5350,105359,Jason,Jung,R,19890615.0,TPE
5363,105373,Martin,Klizan,L,19890711.0,SVK
5366,105376,Peter,Gojowczyk,R,19890715.0,GER
5369,105379,Aljaz,Bedene,R,19890718.0,SLO
5395,105406,Roberto,Marcora,R,19890830.0,ITA
5402,105413,Andrej,Martin,R,19890920.0,SVK
5419,105430,Radu,Albot,R,19891111.0,MDA
5421,105432,Prajnesh,Gunneswaran,L,19891112.0,IND
5423,105434,Ruan,Roelofse,R,19891118.0,RSA
5429,105441,John Patrick,Smith,L,19891204.0,AUS
5437,105449,Steve,Johnson,R,19891224.0,USA
5441,105453,Kei,Nishikori,R,19891229.0,JPN
