,0,1,2,3,4,5
5200,105208,Ernests,Gulbis,R,19880830.0,LAT
5208,105216,Yuichi,Sugita,R,19880918.0,JPN
5209,105217,Thiemo,De Bakker,R,19880919.0,NED
5215,105223,Juan Martin,Del Potro,R,19880923.0,ARG
5218,105226,Attila,Balazs,R,19880927.0,HUN
5219,105227,Marin,Cilic,R,19880928.0,CRO
5246,105254,Nikola,Mektic,R,19881224.0,CRO
5283,105292,Alejandro,Gonzalez,R,19890207.0,COL
5302,105311,Joao,Sousa,R,19890330.0,POR
5323,105332,Benoit,Paire,R,19890508.0,FRA
5325,105334,Luis David,Martinez,U,19890512.0,VEN
5330,105339,Yan,Bai,R,19890521.0,CHN
5332,105341,Thomas,Fabbiano,R,19890526.0,ITA
5340,105349,Harri,Heliovaara,R,19890604.0,FIN
5348,105357,John,Millman,R,19890614.0,AUS
5350,105359,Jason,Jung,R,19890615.0,TPE
5363,105373,Martin,Klizan,L,19890711.0,SVK
5366,105376,Peter,Gojowczyk,R,19890715.0,GER
5369,105379,Aljaz,Bedene,R,19890718.0,SLO
5374,105385,Donald,Young,L,19890723.0,USA
5402,105413,Andrej,Martin,R,19890920.0,SVK
5419,105430,Radu,Albot,R,19891111.0,MDA
5421,105432,Prajnesh,Gunneswaran,L,19891112.0,IND
5423,105434,Ruan,Roelofse,R,19891118.0,RSA
5425,105436,Markus,Eriksson,R,19891129.0,SWE
5437,105449,Steve,Johnson,R,19891224.0,USA
5441,105453,Kei,Nishikori,R,19891229.0,JPN
5465,105477,Marco,Trungelliti,R,19900131.0,ARG
5475,105487,Facundo,Bagnis,L,19900227.0,ARG
5481,105493,Tomislav,Brkic,R,19900309.0,BIH
5485,105497,Jose,Hernandez,U,19900313.0,DOM
5514,105526,Jan Lennard,Struff,R,19900425.0,GER
5527,105539,Evgeny,Donskoy,R,19900509.0,RUS
5538,105550,Guido,Pella,L,19900517.0,ARG
5542,105554,Daniel,Evans,R,19900523.0,GBR
5549,105561,Alessandro,Giannessi,L,19900530.0,ITA
5563,105575,Ricardas,Berankis,R,19900621.0,LTU
5564,105577,Vasek,Pospisil,R,19900623.0,CAN
5570,105583,Dusan,Lajovic,R,19900630.0,SRB
5572,105585,Ze,Zhang,R,19900704.0,CHN
5600,105613,Norbert,Gombos,R,19900813.0,SVK
5601,105614,Bradley,Klahn,L,19900820.0,USA
5613,105626,Takanyi,Garanganga,R,19900906.0,ZIM
5620,105633,Mohamed,Safwat,R,19900919.0,EGY
5621,105634,Viktor,Galovic,R,19900919.0,ITA
5628,105641,Blaz,Rola,L,19901005.0,SLO
5629,105643,Federico,Delbonis,L,19901005.0,ARG
5635,105649,Cedrik Marcel,Stebe,L,19901009.0,GER
5642,105656,Marcelo,Arevalo,R,19901017.0,ESA
5643,105657,Marius,Copil,R,19901017.0,ROU
5662,105676,David,Goffin,R,19901207.0,BEL
5669,105683,Milos,Raonic,R,19901227.0,CAN
5674,105688,Manuel,Sanchez,R,19910105.0,MEX
5716,105731,Steven,Diez,R,19910317.0,CAN
5717,105732,Pierre Hugues,Herbert,R,19910318.0,FRA
5732,105747,Karim Mohamed,Maamoun,R,19910409.0,EGY
5742,105757,Sandro,Ehrat,R,19910418.0,SUI
5762,105777,Grigor,Dimitrov,R,19910516.0,BUL
5791,105806,Mirza,Basic,R,19910712.0,BIH
5792,105807,Pablo,Carreno Busta,R,19910712.0,ESP
5797,105812,David,Agung Susanto,U,19910721.0,INA
5800,105815,Tennys,Sandgren,R,19910722.0,USA
5804,105819,Guido,Andreozzi,R,19910805.0,ARG
5812,105827,Laurynas,Grigelis,R,19910814.0,LTU
5827,105842,Di,Wu,R,19910914.0,CHN
5855,105870,Yannick,Hanfmann,U,19911113.0,GER
5862,105877,Emilio,Gomez,R,19911128.0,ECU
5867,105882,Stefano,Travaglia,U,19911218.0,ITA
5884,105899,Martin,Cuevas,R,19920114.0,URU
5887,105902,James,Duckworth,R,19920121.0,AUS
5891,105906,Kevin,Krawietz,R,19920124.0,GER
5901,105916,Marton,Fucsovics,R,19920208.0,HUN
5917,105932,Nikoloz,Basilashvili,R,19920223.0,GEO
5918,105933,Roberto,Quiroz,L,19920223.0,ECU
5921,105936,Filip,Krajinovic,R,19920227.0,SRB
5928,105943,Federico,Gaio,R,19920305.0,ITA
5939,105954,Peter,Nagy,U,19920317.0,HUN
5948,105963,Arthur,De Greef,R,19920327.0,BEL
5952,105967,Henri,Laaksonen,R,19920331.0,SUI
5970,105985,Darian,King,R,19920426.0,BAR
5977,105992,Ryan,Harrison,R,19920507.0,USA
5985,106000,Damir,Dzumhur,R,19920520.0,BIH
5990,106005,Constant,Lestienne,R,19920523.0,FRA
6006,106021,Dragos,Dima,R,19920616.0,ROU
6016,106031,Raymond,Sarmiento,R,19920724.0,USA
6017,106032,Facundo,Arguello,R,19920804.0,ARG
6019,106034,Yasutaka,Uchiyama,R,19920805.0,JPN
6028,106043,Diego Sebastian,Schwartzman,R,19920816.0,ARG
6030,106045,Denis,Kudla,R,19920817.0,USA
6043,106058,Jack,Sock,R,19920924.0,USA
6050,106065,Marco,Cecchinato,R,19920930.0,ITA
6056,106071,Bernard,Tomic,R,19921021.0,AUS
6057,106072,Alexey,Vatutin,U,19921027.0,RUS
6060,106075,Jozef,Kovalik,R,19921104.0,SVK
6063,106078,Egor,Gerasimov,R,19921111.0,BLR
6084,106099,Salvatore,Caruso,R,19921215.0,ITA
6091,106106,George,Tsivadze,U,19930102.0,GEO
6094,106109,Alex,Bolt,L,19930105.0,AUS
6095,106110,Filip,Horansky,R,19930107.0,SVK
6106,106121,Taro,Daniel,R,19930127.0,JPN
6122,106137,Tristan,Lamasine,R,19930305.0,FRA
6133,106148,Roberto,Carballes Baena,R,19930323.0,ESP
6135,106150,Jeson,Patrombon,R,19930327.0,PHI
6171,106186,Jason,Kubler,R,19930519.0,AUS
6183,106198,Hugo,Dellien,R,19930616.0,BOL
6188,106203,Pedro,Sakamoto,U,19930629.0,BRA
6195,106210,Jiri,Vesely,L,19930710.0,CZE
6199,106214,Oscar,Otte,R,19930716.0,GER
6201,106216,Bjorn,Fratangelo,R,19930719.0,USA
6203,106218,Marcos,Giron,R,19930724.0,USA
6205,106220,Dimitar,Kuzmanov,R,19930728.0,BUL
6208,106223,Aleksandre,Metreveli,R,19930810.0,GEO
6212,106227,Ji Sung,Nam,R,19930815.0,KOR
6213,106228,Juan Ignacio,Londero,R,19930815.0,ARG
6217,106232,Roberto,Cid,R,19930830.0,DOM
6218,106233,Dominic,Thiem,R,19930903.0,AUT
6234,106249,Joao,Domingues,R,19931005.0,POR
6268,106283,Mitchell,Krueger,R,19940112.0,USA
6278,106293,Kimmer,Coppejans,R,19940207.0,BEL
6281,106296,Gregoire,Barrere,R,19940216.0,FRA
6283,106298,Lucas,Pouille,R,19940223.0,FRA
6314,106329,Thiago,Monteiro,L,19940531.0,BRA
6338,106353,Pedja,Krstin,R,19940903.0,SRB
6353,106368,Ramkumar,Ramanathan,R,19941108.0,IND
6363,106378,Kyle,Edmund,R,19950108.0,GBR
6373,106388,Pak Long,Yeung,U,19950214.0,HKG
6382,106397,Wishaya,Trongcharoenchaikul,R,19950408.0,THA
6383,106398,Pedro,Cachin,R,19950412.0,ARG
6386,106401,Nick,Kyrgios,R,19950427.0,AUS
6397,106412,Lucas,Gomez,U,19950811.0,MEX
6400,106415,Yoshihito,Nishioka,L,19950927.0,JPN
6406,106421,Daniil,Medvedev,R,19960211.0,RUS
6408,106423,Thanasi,Kokkinakis,R,19960410.0,AUS
6411,106426,Christian,Garin,R,19960530.0,CHI
6417,106432,Borna,Coric,R,19961114.0,CRO
8724,108739,Wilfredo,Gonzalez,R,19930106.0,GUA
8748,108763,Alberto Emmanuel,Alvarado Larin,U,19941201.0,ESA
9625,109640,Andrea,Basso,L,19931008.0,ITA
9684,109699,Julian,Lenz,R,19930217.0,GER
9724,109739,Maximilian,Marterer,L,19950615.0,GER
10521,110536,Kevin,King,U,19910228.0,USA
10587,110602,Dennis,Novak,R,19930828.0,AUT
10733,110748,Nikola,Milojevic,U,19950619.0,SRB
10763,110778,Joao Lucas,Magalhaes Hueb De Menezes,R,19961217.0,BRA
11138,111153,Christopher,Eubanks,R,19960505.0,USA
11175,111190,Zhizhen,Zhang,U,19961016.0,CHN
11177,111192,Lucas,Miedler,R,19960621.0,AUT
11185,111200,Elias,Ymer,R,19960410.0,SWE
11187,111202,Hyeon,Chung,R,19960519.0,KOR
11426,111442,Jordan,Thompson,R,19940420.0,AUS
11437,111453,Mikael,Torpegaard,R,19940508.0,DEN
11440,111456,Mackenzie,Mcdonald,R,19950416.0,USA
11443,111459,Arjun,Kadhe,R,19940107.0,IND
11444,111460,Quentin,Halys,R,19961026.0,FRA
11495,111511,Noah,Rubin,R,19960221.0,USA
11497,111513,Laslo,Djere,R,19950602.0,SRB
11499,111515,Thai Son,Kwiatkowski,U,19950213.0,USA
11558,111574,Jc,Aragone,R,19950628.0,USA
11559,111575,Karen,Khachanov,R,19960521.0,RUS
11560,111576,Sumit,Nagal,R,19970816.0,IND
11561,111577,Jared,Donaldson,R,19961009.0,USA
11565,111581,Michael,Mmoh,R,19980110.0,USA
11745,111761,Benjamin,Lock,R,19930304.0,ZIM
11774,111790,Brayden,Schnur,R,19950704.0,CAN
11778,111794,Kamil,Majchrzak,R,19960113.0,POL
11779,111795,Filippo,Baldi,R,19960110.0,ITA
11781,111797,Nicolas,Jarry,R,19951011.0,CHI
11799,111815,Cameron,Norrie,L,19950823.0,GBR
17337,117353,Duck Hee,Lee,R,19980529.0,KOR
17340,117356,Cem,Ilkel,R,19950821.0,TUR
17344,117360,Marc,Polmans,U,19970502.0,AUS
20408,120424,Yannick,Maden,U,19891028.0,GER
21515,121531,Mats,Moraing,L,19920620.0,GER
21880,121896,Gabor,Borsos,U,19910630.0,HUN
22093,122109,Sanjar,Fayziev,U,19940729.0,UZB
22282,122298,Botic,Van De Zandschulp,U,19951004.0,NED
22314,122330,Alexander,Bublik,R,19970617.0,KAZ
22532,122548,Edan,Leshem,U,19970319.0,ISR
22554,122570,Mubarak Shannan,Zayid,U,19950414.0,QAT
22653,122669,Juan Pablo,Varillas Patino Samudio,R,19951006.0,PER
23739,123755,Daniel Elahi,Galan Riveros,U,19960618.0,COL
23779,123795,Altug,Celikbilek,U,19960907.0,TUR
23967,123983,Nerman,Fatic,U,19941024.0,BIH
23998,124014,Ernesto,Escobedo,R,19960704.0,USA
24063,124079,Pedro,Martinez Portero,R,19970426.0,ESP
24100,124116,Sebastian,Ofner,R,19960512.0,AUT
24170,124186,Alexandre,Muller,U,19970201.0,FRA
24171,124187,Reilly,Opelka,R,19970828.0,USA
25786,125802,Ilya,Ivashka,R,19940224.0,BLR
25826,125842,Adam,Moundir,U,19950426.0,SUI
26078,126094,Andrey,Rublev,R,19971020.0,RUS
26104,126120,Nino,Serdarusic,U,19961213.0,CRO
26109,126125,Maxime,Janvier,U,19961018.0,FRA
26133,126149,Gianluca,Mager,R,19941201.0,ITA
26140,126156,Antonie,Hoang,R,19951104.0,FRA
26174,126190,Nicolas,Alvarez,R,19960608.0,PER
26187,126203,Taylor Harry,Fritz,R,19971028.0,USA
26188,126204,Gerardo,Lopez Villasenor,U,19950512.0,MEX
26189,126205,Tommy,Paul,R,19970517.0,USA
26191,126207,Francis,Tiafoe,R,19980120.0,USA
26221,126237,Gian Marco,Moroni,U,19980213.0,ITA
26312,126328,Gabriel,Donev,U,19960629.0,BUL
26324,126340,Viktor,Durasovic,U,19970319.0,NOR
26507,126523,Bernabe,Zapata Miralles,R,19970112.0,ESP
26539,126555,Tung Lin,Wu,R,19980512.0,TPE
26593,126609,Patrik,Niklas Salminen,U,19970305.0,FIN
26594,126610,Matteo,Berrettini,R,19960412.0,ITA
26636,126652,Jay,Clarke,R,19980727.0,GBR
26758,126774,Stefanos,Tsitsipas,R,19980812.0,GRE
26923,126939,Khumoun,Sultanov,U,19981027.0,UZB
26936,126952,Soon Woo,Kwon,R,19971202.0,KOR
27141,127157,Daniel,Altmaier,U,19980912.0,GER
27284,127300,Djurabek,Karimov,U,19980604.0,UZB
27323,127339,Borna,Gojo,U,19980227.0,CRO
28018,128034,Hubert,Hurkacz,R,19970211.0,POL
31935,131951,Daniel,Cukierman,U,19950709.0,ISR
32267,132283,Lorenzo,Sonego,R,19950511.0,ITA
32916,132932,Franz,Luna Lavidalie,R,19971005.0,GUA
33281,133297,Yosuke,Watanuki,U,19980412.0,JPN
33414,133430,Denis,Shapovalov,L,19990415.0,CAN
33959,133975,Benjamin,Hassan,U,19950204.0,GER
34661,134677,Juan,Borba,R,19960412.0,PAR
34754,134770,Casper,Ruud,R,19981222.0,NOR
34852,134868,Tallon,Griekspoor,R,19960702.0,NED
36424,136440,Dominik,Koepfer,L,19940429.0,GER
37002,137018,Ayed,Zatar,R,19960329.0,PAR
44634,144650,Rhett,Purcell,R,19960206.0,GBR
44691,144707,Mikael,Ymer,R,19980909.0,SWE
44703,144719,Jaume,Munar,R,19970505.0,ESP
44734,144750,Lloyd George Muirhead,Harris,R,19970224.0,RSA
44744,144760,Amine,Ahouda,U,19970911.0,MAR
44801,144817,Marc Andrea,Huesler,U,19960624.0,SUI
44824,144841,Christian,Sigsgaard,U,19970314.0,DEN
44878,144895,Corentin,Moutet,L,19990419.0,FRA
44929,144946,Rayane,Roumane,U,20000911.0,FRA
44967,144984,Artem,Dubrivnyy,U,19990131.0,RUS
44968,144985,Ergi,Kirkin,R,19990127.0,TUR
45034,200000,Felix,Auger Aliassime,R,20000808.0,CAN
45039,200005,Ugo,Humbert,L,19980626.0,FRA
45065,200031,Lucas,Catarina,R,19960826.0,MON
45093,200059,Yibing,Wu,R,19991014.0,CHN
45129,200095,Nicola,Kuhn,R,20000320.0,ESP
45209,200175,Miomir,Kecmanovic,R,19990831.0,SRB
45252,200218,Mate,Valkusz,R,19980813.0,HUN
45255,200221,Alejandro,Davidovich Fokina,R,19990605.0,ESP
45281,200247,Alexandar,Lazarov,R,19971106.0,BUL
45284,200250,Mehluli Don Ayanda,Sibanda,R,19991106.0,ZIM
45307,200273,Hady,Habib,,19980821.0,LIB
45316,200282,Alex,De Minaur,R,19990217.0,AUS
45359,200325,Emil,Ruusuvuori,R,19990402.0,FIN
45377,200343,David,Szintai,U,19970609.0,HUN
45402,200368,Jack Mingjie,Lin,U,19990415.0,CAN
45470,200436,Zsombor,Piros,U,19991013.0,HUN
45494,200460,John Bryan Decasa,Otico,U,19990625.0,PHI
45518,200484,Rudolf,Molleker,R,20001026.0,GER
45548,200514,Jurij,Rodionov,L,19990516.0,AUT
45560,200526,Juan,Lugo,U,19990921.0,VEN
45587,200553,Alen,Avidzba,R,20000224.0,RUS
45645,200611,Elliot,Benchetrit,U,19981002.0,FRA
45649,200615,Alexei,Popyrin,R,19990805.0,AUS
47029,201995,Cayetano,March,U,20000703.0,ECU
47124,202090,Adrian,Andreev,U,20010512.0,BUL
47137,202103,Francisco,Cerundolo,U,19980813.0,ARG
47199,202165,Alberto,Lim,R,19990518.0,PHI
47296,202262,Filip Cristian,Jianu,U,20010918.0,ROU
47392,202358,Chun Hsin,Tseng,R,20010808.0,TPE
47419,202385,Jenson,Brooksby,U,20001026.0,USA
47434,202400,Alastair,Gray,R,19980622.0,GBR
47509,202475,Philip,Henning,R,20001110.0,RSA
50768,205734,Thiago,Seyboth Wild,R,20000310.0,BRA
51207,206173,Jannik,Sinner,U,20010816.0,ITA
51737,206703,Paul,Jubb,R,19991031.0,GBR
52168,207134,Fitriadi,M Rifqi,U,19990123.0,INA
52173,207139,Palaphoom,Kovapitukted,U,19991205.0,THA
52216,207182,Emilio,Nava,U,20011202.0,USA
52831,207797,Jonas,Forejtek,R,20010310.0,CZE
52886,207852,Wai Yu,Kai,U,20010320.0,HKG
53063,208029,Holger Vitus Nodskov,Rune,U,20030429.0,DEN
53089,208055,Ajeet,Rai,R,19990118.0,NZL
53137,208103,Jiri,Lehecka,R,20011108.0,CZE
53264,208230,Alibek,Kachmazov,U,20020817.0,RUS
53294,208260,Zachary,Svajda,U,20021129.0,USA
53510,208476,Kyle,Johnson,U,19930930.0,USA
53631,208597,Chak Lam Coleman,Wong,U,20040606.0,HKG
53971,208937,Kasidit,Samrej,U,20010126.0,THA
54222,209188,Ari,Fahresi,U,,INA
54260,209226,Adolfo Daniel,Vallejo,U,,PAR
54272,209238,Sebastian,Dominguez,,20020622.0,GUA
