,0,1,2,3,4,5
643,100644,Alexander,Zverev,R,19970420.0,GER
3332,103333,Ivo,Karlovic,R,19790228.0,CRO
3818,103819,Roger,Federer,R,19810808.0,SUI
3851,103852,Feliciano,Lopez,L,19810920.0,ESP
3892,103893,Paolo,Lorenzi,R,19811215.0,ITA
3916,103917,Nicolas,Mahut,R,19820121.0,FRA
3969,103970,David,Ferrer,R,19820402.0,ESP
3989,103990,Tommy,Robredo,R,19820501.0,ESP
4121,104122,Carlos,Berlocq,R,19830203.0,ARG
4197,104198,Guillermo,Garcia Lopez,R,19830604.0,ESP
4258,104259,Philipp,Kohlschreiber,R,19831016.0,GER
4268,104269,Fernando,Verdasco,L,19831115.0,ESP
4290,104291,Malek,Jaziri,R,19840120.0,TUN
4295,104297,Rogerio,Dutra Silva,R,19840203.0,BRA
4310,104312,Andreas,Seppi,R,19840221.0,ITA
4325,104327,Steve,Darcis,R,19840313.0,BEL
4384,104386,Janko,Tipsarevic,R,19840622.0,SRB
4422,104424,Go,Soeda,R,19840905.0,JPN
4458,104460,Dustin,Brown,R,19841208.0,GER
4465,104467,Lamine,Ouahab,R,19841222.0,ALG
4466,104468,Gilles,Simon,R,19841227.0,FRA
4525,104527,Stanislas,Wawrinka,R,19850328.0,SUI
4532,104534,Dudi,Sela,R,19850404.0,ISR
4540,104542,Jo Wilfried,Tsonga,R,19850417.0,FRA
4543,104545,John,Isner,R,19850426.0,USA
4561,104563,Luca,Vanni,R,19850604.0,ITA
4569,104571,Marcos,Baghdatis,R,19850617.0,CYP
4584,104586,Lukas,Rosol,R,19850724.0,CZE
4605,104607,Tomas,Berdych,R,19850917.0,CZE
4618,104620,Simone,Bolelli,R,19851008.0,ITA
4627,104629,Adrian,Menendez Maceiras,R,19851028.0,ESP
4653,104655,Pablo,Cuevas,R,19860101.0,URU
4654,104656,Haydn,Lewis,L,19860102.0,BAR
4658,104660,Sergiy,Stakhovsky,R,19860106.0,UKR
4663,104665,Pablo,Andujar,R,19860123.0,ESP
4676,104678,Viktor,Troicki,R,19860210.0,SRB
4715,104719,Marcel,Granollers,R,19860412.0,ESP
4727,104731,Kevin,Anderson,R,19860518.0,RSA
4731,104735,Tobias,Kamke,R,19860521.0,GER
4741,104745,Rafael,Nadal,L,19860603.0,ESP
4751,104755,Richard,Gasquet,R,19860618.0,FRA
4788,104792,Gael,Monfils,R,19860901.0,FRA
4793,104797,Denis,Istomin,R,19860907.0,UZB
4800,104804,Amir,Weintraub,R,19860916.0,ISR
4806,104810,Zhe,Li,R,19860920.0,CHN
4864,104868,James,Ward,R,19870209.0,GBR
4867,104871,Jeremy,Chardy,R,19870212.0,FRA
4892,104897,Matthias,Bachinger,R,19870402.0,GER
4893,104898,Robin,Haase,R,19870406.0,NED
4902,104907,Jose Rubin,Statham,R,19870425.0,NZL
4912,104918,Andy,Murray,R,19870515.0,GBR
4913,104919,Leonardo,Mayer,R,19870515.0,ARG
4919,104925,Novak,Djokovic,R,19870522.0,SRB
4920,104926,Fabio,Fognini,R,19870524.0,ITA
4964,104970,Matteo,Viola,R,19870707.0,ITA
4972,104978,Daniel,Brands,R,19870717.0,GER
4993,104999,Mischa,Zverev,L,19870822.0,GER
5005,105011,Illya,Marchenko,R,19870908.0,UKR
5008,105015,Franco,Skugor,R,19870920.0,CRO
5015,105023,Sam,Querrey,R,19871007.0,USA
5033,105041,Lukas,Lacko,R,19871103.0,SVK
5043,105051,Matthew,Ebden,R,19871126.0,AUS
5045,105053,Santiago,Giraldo,R,19871127.0,COL
5054,105062,Mikhail,Kukushkin,R,19871226.0,KAZ
5055,105063,Andrea,Arnaboldi,L,19871227.0,ITA
5057,105065,Tim,Smyczek,R,19871230.0,USA
5066,105074,Ruben,Bemelmans,L,19880114.0,BEL
5069,105077,Albert,Ramos,L,19880117.0,ESP
5083,105091,Peter,Torebko,R,19880210.0,GER
5130,105138,Roberto,Bautista Agut,R,19880414.0,ESP
5139,105147,Tatsuma,Ito,R,19880518.0,JPN
5147,105155,Pedro,Sousa,R,19880527.0,POR
5148,105156,Federico,Zeballos,U,19880530.0,BOL
5155,105163,Gleb,Sakharov,R,19880610.0,FRA
5158,105166,Peter,Polansky,R,19880615.0,CAN
5165,105173,Adrian,Mannarino,L,19880629.0,FRA
