,0,1,2,3,4,5,Id,Label
79,105063,Andrea,Arnaboldi,L,19871227.0,ITA,105063,Andrea Arnaboldi
80,105064,Thomaz,Bellucci,L,19871230.0,BRA,105064,Thomaz Bellucci
81,105065,Tim,Smyczek,R,19871230.0,USA,105065,Tim Smyczek
82,105074,Ruben,Bemelmans,L,19880114.0,BEL,105074,Ruben Bemelmans
83,105077,Albert,Ramos,L,19880117.0,ESP,105077,Albert Ramos
84,105085,Artem,Smirnov,U,19880202.0,UKR,105085,Artem Smirnov
85,105111,Ivan,Endara,U,19880304.0,ECU,105111,Ivan Endara
86,105132,Jurgen,Zopp,R,19880329.0,EST,105132,Jurgen Zopp
87,105138,Roberto,Bautista Agut,R,19880414.0,ESP,105138,Roberto Bautista Agut
88,105147,Tatsuma,Ito,R,19880518.0,JPN,105147,Tatsuma Ito
89,105155,Pedro,Sousa,R,19880527.0,POR,105155,Pedro Sousa
90,105156,Federico,Zeballos,U,19880530.0,BOL,105156,Federico Zeballos
91,105163,Gleb,Sakharov,R,19880610.0,FRA,105163,Gleb Sakharov
92,105166,Peter,Polansky,R,19880615.0,CAN,105166,Peter Polansky
93,105173,Adrian,Mannarino,L,19880629.0,FRA,105173,Adrian Mannarino
94,105208,Ernests,Gulbis,R,19880830.0,LAT,105208,Ernests Gulbis
95,105216,Yuichi,Sugita,R,19880918.0,JPN,105216,Yuichi Sugita
96,105217,Thiemo,De Bakker,R,19880919.0,NED,105217,Thiemo De Bakker
97,105223,Juan Martin,Del Potro,R,19880923.0,ARG,105223,Juan Martin Del Potro
98,105226,Attila,Balazs,R,19880927.0,HUN,105226,Attila Balazs
99,105227,Marin,Cilic,R,19880928.0,CRO,105227,Marin Cilic
100,105238,Alexandr,Dolgopolov,R,19881107.0,UKR,105238,Alexandr Dolgopolov
101,105273,Mauricio,Echazu,R,19890121.0,PER,105273,Mauricio Echazu
102,105292,Alejandro,Gonzalez,R,19890207.0,COL,105292,Alejandro Gonzalez
103,105299,Dzmitry,Zhyrmont,U,19890301.0,BLR,105299,Dzmitry Zhyrmont
104,105311,Joao,Sousa,R,19890330.0,POR,105311,Joao Sousa
105,105332,Benoit,Paire,R,19890508.0,FRA,105332,Benoit Paire
106,105341,Thomas,Fabbiano,R,19890526.0,ITA,105341,Thomas Fabbiano
