0,1,2,3,4,5
105091,Peter,Torebko,R,19880210.0,GER
105102,Goncalo,Falcao,R,19880222.0,POR
105111,Ivan,Endara,U,19880304.0,ECU
105114,Dejan,Katic,R,19880307.0,SRB
105130,Vladimir,Uzhylovsky,R,19880325.0,UKR
105132,Jurgen,Zopp,R,19880329.0,EST
105138,Roberto,Bautista Agut,R,19880414.0,ESP
105147,Tatsuma,Ito,R,19880518.0,JPN
105154,Joao,Souza,R,19880527.0,BRA
105155,Pedro,Sousa,R,19880527.0,POR
105156,Federico,Zeballos,U,19880530.0,BOL
105161,Yann,Marti,R,19880607.0,SUI
105163,Gleb,Sakharov,R,19880610.0,FRA
105166,Peter,Polansky,R,19880615.0,CAN
105172,Miliaan,Niesten,U,19880627.0,NED
105173,Adrian,Mannarino,L,19880629.0,FRA
105178,Alexis,Musialek,U,19880704.0,FRA
105180,Daniel,Dutra Da Silva,L,19880705.0,BRA
105181,Miljan,Zekic,U,19880712.0,SRB
105208,Ernests,Gulbis,R,19880830.0,LAT
105216,Yuichi,Sugita,R,19880918.0,JPN
105217,Thiemo,De Bakker,R,19880919.0,NED
105223,Juan Martin,Del Potro,R,19880923.0,ARG
105226,Attila,Balazs,R,19880927.0,HUN
105227,Marin,Cilic,R,19880928.0,CRO
105245,Fabiano,De Paula,R,19881128.0,BRA
105271,Gonzalo,Escobar,L,19890120.0,ECU
105273,Mauricio,Echazu,R,19890121.0,PER
105278,Alexis,Klegou,U,19890125.0,BEN
105283,Gerard,Granollers,R,19890130.0,ESP
105292,Alejandro,Gonzalez,R,19890207.0,COL
105296,Lorenzo,Frigerio,R,19890217.0,ITA
105300,Sergio,Gutierrez Ferrol,R,19890305.0,ESP
105302,Ante,Pavic,R,19890307.0,CRO
105311,Joao,Sousa,R,19890330.0,POR
105331,Petru,Alexandru Luncanu,L,19890507.0,ROU
105332,Benoit,Paire,R,19890508.0,FRA
105335,Sho,Katayama,U,19890512.0,JPN
105338,Maximiliano,Estevez,L,19890518.0,ARG
105339,Yan,Bai,R,19890521.0,CHN
105341,Thomas,Fabbiano,R,19890526.0,ITA
105342,Deni,Zmak,R,19890527.0,CRO
105349,Harri,Heliovaara,R,19890604.0,FIN
105357,John,Millman,R,19890614.0,AUS
105359,Jason,Jung,R,19890615.0,TPE
105369,Riccardo,Maiga,R,19890705.0,SUI
105372,Issam,Al Tawil,R,19890710.0,SYR
105373,Martin,Klizan,L,19890711.0,SVK
105376,Peter,Gojowczyk,R,19890715.0,GER
105379,Aljaz,Bedene,R,19890718.0,SLO
105385,Donald,Young,L,19890723.0,USA
105398,Adam,El Mihdawy,U,19890809.0,USA
105406,Roberto,Marcora,R,19890830.0,ITA
105413,Andrej,Martin,R,19890920.0,SVK
105421,Michal,Konecny,L,19891013.0,CZE
105429,Scott,Puodziunas,U,19891109.0,AUS
105430,Radu,Albot,R,19891111.0,MDA
105432,Prajnesh,Gunneswaran,L,19891112.0,IND
105434,Ruan,Roelofse,R,19891118.0,RSA
105436,Markus,Eriksson,R,19891129.0,SWE
105438,Inigo,Cervantes Huegun,R,19891130.0,ESP
105440,Arsenije,Zlatanovic,R,19891204.0,SRB
105441,John Patrick,Smith,L,19891204.0,AUS
105449,Steve,Johnson,R,19891224.0,USA
105450,Mike,Urbanija,R,19891226.0,SLO
105452,Francesco,Vilardo,R,19891228.0,ITA
105453,Kei,Nishikori,R,19891229.0,JPN
105454,Brydan,Klein,R,19891231.0,AUS
105456,Sergio,Galdos,R,19900102.0,PER
105467,Jordi,Munoz Abreu,U,19900117.0,VEN
105477,Marco,Trungelliti,R,19900131.0,ARG
105478,Yan,Sabanin,U,19900131.0,RUS
105479,Alejandro,Mendoza,R,19900202.0,BOL
105487,Facundo,Bagnis,L,19900227.0,ARG
105493,Tomislav,Brkic,R,19900309.0,BIH
105494,Adelchi,Virgili,U,19900310.0,ITA
105497,Jose,Hernandez,U,19900313.0,DOM
105502,N Sriram,Balaji,R,19900318.0,IND
105503,George,Von Massow,R,19900321.0,GER
105507,Cheong Eui,Kim,R,19900323.0,KOR
105508,Vasile,Antonescu,R,19900324.0,ROU
105510,Neil,Pauffley,R,19900329.0,GBR
105512,Alexander,Sarkissian,R,19900403.0,USA
105514,Jeremy,Jahn,R,19900405.0,GER
105515,Jordi,Samper Montana,U,19900405.0,ESP
