0,1,2,3,4,5
103292,Gaston,Gaudio,R,19781209.0,ARG
103294,Christophe,Rochus,R,19781215.0,BEL
103296,Ivaylo,Traykov,R,19781217.0,BUL
103303,Angel Jose,Martin,R,19790102.0,ESP
103316,Victor,Romero,R,19790126.0,MEX
103321,Vinod,Sridhar,L,19790205.0,IND
103327,Alessandro,Motti,L,19790221.0,ITA
103333,Ivo,Karlovic,R,19790228.0,CRO
103339,Wesley,Whitehouse,L,19790313.0,RSA
103344,Ivan,Ljubicic,R,19790319.0,CRO
103358,Nicolas,Todero,R,19790415.0,ARG
103364,Javier,Genaro Martinez,R,19790501.0,ESP
103373,Sergio,Roitman,R,19790516.0,ARG
103377,Seung Hoon,Lee,R,19790522.0,KOR
103390,Artemon,Apostu Efremov,R,19790619.0,ROU
103393,Yuri,Schukin,R,19790626.0,KAZ
103395,Julio,Silva,R,19790701.0,BRA
103401,Jan,Hernych,R,19790707.0,CZE
103409,Byung Kook,Kang,U,19790721.0,KOR
103417,Brian,Battistone,R,19790810.0,USA
103420,Michal,Tabara,R,19790811.0,CZE
103422,Sebastian,Fitz,R,19790812.0,GER
103423,Toshiharu,Kato,R,19790812.0,JPN
103424,Tobias,Clemens,R,19790814.0,GER
103425,Nicolas,Tourte,L,19790818.0,FRA
103427,Yew Ming,Si,U,19790824.0,MAS
103428,Juan Ignacio,Chela,R,19790830.0,ARG
103429,Peter,Luczak,R,19790831.0,AUS
103435,Massimo,Dellacqua,R,19790906.0,ITA
103437,Francesco,Piccari,R,19790907.0,ITA
103444,Jean Rene,Lisnard,R,19790925.0,MON
103448,Gabriel,Trujillo Soler,R,19790930.0,ESP
103451,Bjorn,Phau,R,19791004.0,GER
103453,Chul Hee,Lee,U,19791009.0,KOR
103454,Nicolas,Massu,R,19791010.0,CHI
103455,Michal,Mertinak,R,19791011.0,SVK
103459,Jordan,Kerr,R,19791026.0,AUS
103470,Robert,Kendrick,R,19791115.0,USA
103472,Karim,Maamoun,R,19791118.0,EGY
103473,Rodrigo,Grilli,R,19791120.0,BRA
103478,Diego,Veronelli,R,19791205.0,ARG
103484,James,Blake,R,19791228.0,USA
103490,Santiago,Ventura,R,19800105.0,ESP
103492,Pablo,Martinez,R,19800115.0,MEX
103499,Aqeel,Khan,R,19800130.0,PAK
103501,Vijay,Kannan,R,19800204.0,IND
103503,Robin,Vik,R,19800205.0,CZE
103505,Vasilis,Mazarakis,R,19800209.0,GRE
103506,Martin,Vassallo Arguello,R,19800210.0,ARG
103507,Juan Carlos,Ferrero,R,19800212.0,ESP
103514,Young Jun,Kim,R,19800223.0,KOR
103520,Pavel,Snobel,L,19800228.0,CZE
103521,Andrea,Stoppini,R,19800229.0,ITA
103523,Rohan,Bopanna,R,19800304.0,IND
103524,Diego,Alvarez,R,19800306.0,ARG
103525,Ivan,Miranda,R,19800308.0,PER
103527,Julien,Jeanpierre,R,19800310.0,FRA
103528,Julian,Gast,U,19800312.0,GER
103529,Aisam Ul Haq,Qureshi,R,19800317.0,PAK
103531,Thomas,Oger,U,19800322.0,MON
103534,Nicolas,Devilder,L,19800325.0,FRA
103535,Olivier,Patience,R,19800325.0,FRA
103540,Johan,Brunstrom,L,19800403.0,SWE
103543,David,Marrero,R,19800408.0,ESP
103549,Dario,Perez,R,19800418.0,ARG
103552,Carlos,Gonzalez Leiva,R,19800424.0,CHI
103556,Sylvain,Anibie,U,19800503.0,CIV
103558,Masatoshi,Miyazaki,R,19800505.0,JPN
103565,Stephane,Robert,R,19800517.0,FRA
103566,Michael,Llodra,L,19800518.0,FRA
103568,Valentin,Sanon,R,19800520.0,CIV
103573,Rik,De Voest,R,19800605.0,RSA
103574,Teodor,Dacian Craciun,R,19800606.0,ROU
103577,Christopher,Kas,R,19800613.0,GER
103580,Alexander,Peya,R,19800627.0,AUT
103581,Flavio,Saretta,R,19800628.0,BRA
